"ClassLables","Recall","Precision","Sensitivity","Specifity","F-measure","learner","Accuracy","Cohen's kappa","Area Under Curve","#Genes","#Clusters","Iteration"
"pos",0,,0,1,,"svm",0.6666666666666666,0,0.8125,41,1,0
"pos",0,,0,1,,"svm",0.6666666666666666,0,0.8125,137,2,1
"pos",0,0,0,0.75,?,"svm",0.5,-0.28571428571428586,0.75,159,3,2
"pos",1,1,1,1,1,"svm",1,1,1,312,4,3
"pos",1,1,1,1,1,"svm",1,1,1,317,5,4
"pos",1,1,1,1,1,"svm",1,1,1,320,6,5
"pos",1,1,1,1,1,"svm",1,1,1,325,7,6
"pos",1,1,1,1,1,"svm",1,1,1,330,8,7
"pos",1,0.6666666666666666,1,0.75,0.8,"svm",0.8333333333333334,0.6666666666666667,0.9375,725,9,8
"pos",1,0.6666666666666666,1,0.75,0.8,"svm",0.8333333333333334,0.6666666666666667,1,873,10,9
"pos",1,1,1,1,1,"svm",1,1,1,231,1,0
"pos",1,1,1,1,1,"svm",1,1,1,326,2,1
"pos",1,1,1,1,1,"svm",1,1,1,329,3,2
"pos",1,1,1,1,1,"svm",1,1,1,359,4,3
"pos",1,1,1,1,1,"svm",1,1,1,440,5,4
"pos",1,1,1,1,1,"svm",1,1,1,451,6,5
"pos",1,1,1,1,1,"svm",1,1,1,487,7,6
"pos",1,1,1,1,1,"svm",1,1,1,546,8,7
"pos",1,1,1,1,1,"svm",1,1,1,557,9,8
"pos",1,1,1,1,1,"svm",1,1,1,571,10,9
"pos",1,1,1,1,1,"svm",1,1,1,5,1,0
"pos",1,1,1,1,1,"svm",1,1,1,18,2,1
"pos",1,1,1,1,1,"svm",1,1,1,62,3,2
"pos",1,1,1,1,1,"svm",1,1,1,128,4,3
"pos",1,1,1,1,1,"svm",1,1,1,131,5,4
"pos",1,1,1,1,1,"svm",1,1,1,132,6,5
"pos",1,1,1,1,1,"svm",1,1,1,133,7,6
"pos",1,1,1,1,1,"svm",1,1,1,136,8,7
"pos",1,1,1,1,1,"svm",1,1,1,137,9,8
"pos",1,1,1,1,1,"svm",1,1,1,143,10,9
