"ClassLables","Recall","Precision","Sensitivity","Specifity","F-measure","learner","Accuracy","Cohen's kappa","Area Under Curve","#Genes","#Clusters","Iteration"
"pos",1,1,1,1,1,"svm",1,1,1,214,1,0
"pos",1,1,1,1,1,"svm",1,1,1,347,2,1
"pos",1,1,1,1,1,"svm",1,1,1,360,3,2
"pos",1,1,1,1,1,"svm",1,1,1,401,4,3
"pos",1,1,1,1,1,"svm",1,1,1,408,5,4
"pos",1,1,1,1,1,"svm",1,1,1,428,6,5
"pos",1,1,1,1,1,"svm",1,1,1,431,7,6
"pos",1,1,1,1,1,"svm",1,1,1,437,8,7
"pos",1,1,1,1,1,"svm",1,1,1,443,9,8
"pos",1,1,1,1,1,"svm",1,1,1,617,10,9
"pos",1,1,1,1,1,"svm",1,1,1,3,1,0
"pos",1,1,1,1,1,"svm",1,1,1,237,2,1
"pos",1,1,1,1,1,"svm",1,1,1,248,3,2
"pos",1,1,1,1,1,"svm",1,1,1,412,4,3
"pos",1,1,1,1,1,"svm",1,1,1,440,5,4
"pos",1,1,1,1,1,"svm",1,1,1,531,6,5
"pos",1,1,1,1,1,"svm",1,1,1,539,7,6
"pos",1,1,1,1,1,"svm",1,1,1,551,8,7
"pos",1,1,1,1,1,"svm",1,1,1,563,9,8
"pos",1,1,1,1,1,"svm",1,1,1,732,10,9
"pos",1,1,1,1,1,"svm",1,1,1,228,1,0
"pos",1,1,1,1,1,"svm",1,1,1,389,2,1
"pos",1,1,1,1,1,"svm",1,1,1,430,3,2
"pos",1,1,1,1,1,"svm",1,1,1,530,4,3
"pos",1,1,1,1,1,"svm",1,1,1,537,5,4
"pos",1,1,1,1,1,"svm",1,1,1,545,6,5
"pos",1,1,1,1,1,"svm",1,1,1,552,7,6
"pos",1,1,1,1,1,"svm",1,1,1,561,8,7
"pos",1,1,1,1,1,"svm",1,1,1,578,9,8
"pos",1,1,1,1,1,"svm",1,1,1,696,10,9
"pos",1,1,1,1,1,"svm",1,1,1,4,1,0
"pos",1,1,1,1,1,"svm",1,1,1,268,2,1
"pos",1,1,1,1,1,"svm",1,1,1,412,3,2
"pos",1,1,1,1,1,"svm",1,1,1,429,4,3
"pos",1,1,1,1,1,"svm",1,1,1,518,5,4
"pos",1,1,1,1,1,"svm",1,1,1,547,6,5
"pos",1,1,1,1,1,"svm",1,1,1,570,7,6
"pos",1,1,1,1,1,"svm",1,1,1,711,8,7
"pos",1,1,1,1,1,"svm",1,1,1,712,9,8
"pos",1,1,1,1,1,"svm",1,1,1,720,10,9
"pos",1,1,1,1,1,"svm",1,1,1,210,1,0
"pos",1,1,1,1,1,"svm",1,1,1,353,2,1
"pos",1,1,1,1,1,"svm",1,1,1,376,3,2
"pos",1,1,1,1,1,"svm",1,1,1,383,4,3
"pos",1,1,1,1,1,"svm",1,1,1,456,5,4
"pos",1,1,1,1,1,"svm",1,1,1,459,6,5
"pos",1,1,1,1,1,"svm",1,1,1,471,7,6
"pos",1,1,1,1,1,"svm",1,1,1,472,8,7
"pos",1,1,1,1,1,"svm",1,1,1,476,9,8
"pos",1,1,1,1,1,"svm",1,1,1,480,10,9
"pos",1,1,1,1,1,"svm",1,1,1,8,1,0
"pos",1,1,1,1,1,"svm",1,1,1,217,2,1
"pos",1,1,1,1,1,"svm",1,1,1,347,3,2
