"miRNA","Targets"
"hsa-miR-222-3p","DLG2"
"hsa-miR-497-5p","MSN"
"hsa-miR-218-5p","CBARA1"
"hsa-miR-152","C11orf80,ARHGAP23,GALNT7,SPATS2L,MET,BID,PIAS3,LGALS3,PLEKHA4,TUSC3,MTMR11,RARG,LSR,PAPLN,TMEM43,GALE,SLC35F2,MGAT4B,PAPSS1,TIMP1,COL8A2,CDC42EP1,DTX4,BMP1,GRB7,CLDN1,GOLT1A,CD276,SDC4,LPAR5,PAM,MPZL2,CAMK2N1,CDH3,PLEKHN1,C6orf168,PIP5KL1,PTPRE,RUNX2,CTSH"
"hsa-miR-374a-5p","TMEM41A"
"hsa-miR-28-5p","CTTN,TMEM41A,GLS2,NRCAM,KIAA0284"
"hsa-miR-28-3p","GALNT7,PON2,RAD23B,TPD52L1,SLC17A5,GPRC5B,TUSC3,SHROOM4,SLC35F2,MGAT4B,TMEM98,DTX4,EPS8,MEAF6,SDC4,CTTN,ADK,LPAR5,GLS2,MSN,KIAA0284"
"hsa-miR-34a-5p","SLC26A7,PAPSS2,C8orf84,EPHA3,LRP1B,RELN"
"hsa-miR-126-5p","ITGA3"
"hsa-miR-21-5p","SLC26A7"
"hsa-miR-148b-3p","TBC1D2,MET,MTMR11,TTL,SLC35F2,RUNX1,DTX4,ENDOD1,CTTN,ITGA3,PAM,MSN"
"hsa-miR-195-5p","C11orf80,BID,SPINT1,TMEM41A,ADK,GLS2,PLEKHN1,C6orf168,KIAA0284"
"hsa-miR-30a-5p","C11orf80,QSOX1,ICAM1,MET,BID,BCL2L1,MTMR11,RUNX1,FLJ42709,LIPH,NFE2L3,CD276,MAP3K6,TMEM173,MPZL2,CFI,RUNX2"
